
EXP:	Mon Oct 31 09:20:45 2005
CONFLICTS SIMULATION:
Mode 2: Initialisation from file conflicts1.net

Number of agents=	69
Number of connections=	98
BEGIN OF REP #1 M.of.INITIAL=	-1.1	M.of.NOISE=	-0.5
 STEP/VERSION	Mean(State)	Min(State)	Max(State)	SD(State)	Mean(Acctivity)	Min(Acctivity)	Max(Acctivity)	SD(Acctivity)	
0	-0.800499	-0.800499	-0.800499	8.55243e-008	0	0	0	0	
10	-0.878605	-0.911618	-0.814891	0.0335953	-0.844417	-0.913043	0.00894528	0.128844	
20	-0.879644	-0.912695	-0.813966	0.0329953	-0.847141	-0.915622	0.00883576	0.128612	
30	-0.878465	-0.913146	-0.814111	0.0341392	-0.844932	-0.907108	0.00896237	0.129159	
40	-0.879737	-0.91086	-0.817968	0.0320284	-0.846871	-0.913131	0.0089281	0.12894	
50	-0.878914	-0.909657	-0.813816	0.0335369	-0.846613	-0.910872	0.00896906	0.129231	
60	-0.879991	-0.914308	-0.81002	0.0335191	-0.846263	-0.910474	0.00899418	0.128807	
70	-0.877877	-0.911725	-0.811695	0.0341818	-0.843301	-0.910162	0.0089163	0.12909	
80	-0.878633	-0.912262	-0.810694	0.0341727	-0.846082	-0.91256	0.00895631	0.129222	
90	-0.878048	-0.914598	-0.812208	0.034484	-0.84659	-0.911577	0.00888933	0.128857	
100	-0.880153	-0.911451	-0.813167	0.033117	-0.844181	-0.909898	0.00889177	0.129053	
110	-0.878721	-0.910205	-0.809524	0.0326197	-0.846043	-0.910532	0.00894381	0.129102	
120	-0.87886	-0.917011	-0.807672	0.0339696	-0.845734	-0.913139	0.00891718	0.129029	
130	-0.879039	-0.91436	-0.808052	0.0334366	-0.844256	-0.915618	0.00889985	0.129042	
140	-0.879157	-0.911126	-0.814275	0.0332334	-0.848078	-0.912568	0.00900421	0.128724	
150	-0.879941	-0.914535	-0.818855	0.0314907	-0.846171	-0.911293	0.0089783	0.128747	
160	-0.880056	-0.913096	-0.814327	0.0335878	-0.845516	-0.90838	0.00889723	0.129063	
170	-0.878687	-0.91669	-0.808787	0.0339141	-0.846854	-0.91352	0.00890884	0.128951	
180	-0.878643	-0.910091	-0.80981	0.0326914	-0.846355	-0.912049	0.00897814	0.128931	
190	-0.879708	-0.910798	-0.814167	0.0328601	-0.842863	-0.91225	0.00879426	0.12887	
200	-0.879175	-0.910936	-0.812448	0.03376	-0.845928	-0.906768	0.00896063	0.128857	
210	-0.87879	-0.913047	-0.814712	0.0339294	-0.84725	-0.913557	0.00897091	0.128849	
220	-0.879282	-0.911685	-0.81093	0.0346956	-0.844995	-0.910637	0.00893179	0.129089	
230	-0.879333	-0.908596	-0.809124	0.0343133	-0.846654	-0.908878	0.00887656	0.128924	
240	-0.879707	-0.914858	-0.813942	0.0331997	-0.844124	-0.913349	0.00892672	0.129209	
250	-0.880264	-0.913196	-0.818169	0.0325717	-0.845512	-0.910107	0.00902999	0.128867	
260	-0.878815	-0.910602	-0.80145	0.0342218	-0.846657	-0.908242	0.00896536	0.129018	
270	-0.878347	-0.910877	-0.814743	0.0343156	-0.848053	-0.913713	0.00893079	0.128909	
280	-0.879947	-0.91215	-0.815808	0.0329116	-0.84572	-0.907841	0.00889196	0.128944	
290	-0.878295	-0.910562	-0.807036	0.0339668	-0.844367	-0.911896	0.00889843	0.129145	
300	-0.879416	-0.910681	-0.808571	0.0324752	-0.844777	-0.91054	0.00893032	0.129575	
310	-0.879115	-0.911073	-0.804804	0.0334251	-0.843577	-0.90751	0.00892593	0.128584	
320	-0.879466	-0.913371	-0.813112	0.0331454	-0.846652	-0.914312	0.00892126	0.129046	
330	-0.879582	-0.912673	-0.812085	0.0335198	-0.845492	-0.909324	0.00891298	0.129188	
340	-0.879	-0.915803	-0.812294	0.03303	-0.84752	-0.909987	0.00891676	0.12874	
350	-0.878964	-0.912561	-0.814863	0.0337754	-0.846176	-0.911863	0.00892138	0.128902	
360	-0.879256	-0.912125	-0.808204	0.0340149	-0.844291	-0.90885	0.00896971	0.12901	
370	-0.877947	-0.910565	-0.807662	0.0348695	-0.845093	-0.908698	0.00886307	0.12934	
380	-0.878871	-0.914157	-0.811938	0.0347267	-0.846335	-0.910537	0.00893959	0.129302	
390	-0.878464	-0.910077	-0.816348	0.0335391	-0.845675	-0.910737	0.00897981	0.129045	
400	-0.878884	-0.910363	-0.809527	0.0331498	-0.844261	-0.911793	0.00895665	0.12913	
410	-0.879856	-0.911628	-0.805887	0.0327357	-0.84479	-0.907334	0.00900818	0.12878	
420	-0.879559	-0.913276	-0.81068	0.0338052	-0.846729	-0.913119	0.0090246	0.128913	
430	-0.879624	-0.910003	-0.816988	0.0324454	-0.846411	-0.909272	0.00900466	0.128888	
440	-0.879207	-0.912518	-0.813537	0.0332482	-0.846135	-0.912023	0.00892421	0.12927	
450	-0.878927	-0.910543	-0.81465	0.0326021	-0.845442	-0.912226	0.00894324	0.129154	
460	-0.878717	-0.91134	-0.813101	0.0331682	-0.845716	-0.91089	0.00893058	0.128983	
470	-0.879742	-0.914294	-0.81092	0.0337636	-0.84523	-0.910482	0.0089067	0.129035	
480	-0.878987	-0.911567	-0.820965	0.0322253	-0.846636	-0.910856	0.00895279	0.129285	
490	-0.879342	-0.915177	-0.807311	0.0333893	-0.845222	-0.907615	0.00892795	0.129104	
500	-0.878533	-0.911185	-0.81193	0.0344408	-0.847388	-0.911192	0.0089213	0.128946	
510	-0.87983	-0.917004	-0.813088	0.0337287	-0.846139	-0.913563	0.00885105	0.128927	
520	-0.879156	-0.911666	-0.809004	0.0325715	-0.845792	-0.910337	0.00893407	0.129222	
530	-0.878442	-0.913196	-0.816169	0.0336196	-0.846174	-0.907608	0.00892165	0.128841	
540	-0.879516	-0.911225	-0.809721	0.0342978	-0.845783	-0.911288	0.00885964	0.128751	
550	-0.87908	-0.915081	-0.811745	0.0335432	-0.845567	-0.910364	0.00885924	0.128912	
560	-0.879377	-0.914004	-0.816359	0.032749	-0.847504	-0.911877	0.00898027	0.128934	
570	-0.87989	-0.911852	-0.812098	0.0337962	-0.84644	-0.913459	0.00898138	0.129267	
580	-0.879139	-0.910926	-0.815826	0.033169	-0.84631	-0.916178	0.00892005	0.128731	
590	-0.879365	-0.90975	-0.81651	0.0323486	-0.846556	-0.91388	0.00892403	0.129009	
600	-0.87948	-0.914211	-0.810131	0.0343527	-0.846088	-0.911854	0.0089809	0.12896	
610	-0.878802	-0.909606	-0.812183	0.0328119	-0.845953	-0.90869	0.0089521	0.128646	
620	-0.879848	-0.913472	-0.820707	0.0323323	-0.84443	-0.909799	0.00892023	0.129136	
630	-0.880136	-0.914698	-0.814566	0.0323076	-0.84541	-0.909492	0.00895876	0.128874	
640	-0.879438	-0.911876	-0.815007	0.0331988	-0.845678	-0.914223	0.00900625	0.129027	
650	-0.878884	-0.908382	-0.810705	0.0336229	-0.845742	-0.911285	0.00897439	0.128896	
660	-0.879262	-0.909783	-0.809939	0.0319825	-0.845565	-0.914099	0.00894545	0.12904	
670	-0.87921	-0.913219	-0.808024	0.0338899	-0.846031	-0.913298	0.00885929	0.1291	
680	-0.878594	-0.910591	-0.811186	0.0346368	-0.845668	-0.913158	0.00896465	0.128865	
690	-0.878252	-0.910774	-0.810984	0.0333445	-0.845093	-0.909326	0.00890635	0.128951	
700	-0.879417	-0.912634	-0.808056	0.0335342	-0.844695	-0.91309	0.00895995	0.129219	
710	-0.878502	-0.913543	-0.810187	0.0339028	-0.845495	-0.910196	0.00899043	0.129683	
720	-0.878788	-0.91446	-0.810761	0.0342218	-0.846463	-0.910653	0.00889985	0.129127	
730	-0.878904	-0.911737	-0.809912	0.0334952	-0.845852	-0.908911	0.00886585	0.12906	
740	-0.879467	-0.914155	-0.812259	0.033705	-0.845832	-0.909356	0.00901286	0.128605	
750	-0.879341	-0.908784	-0.816708	0.0326999	-0.846861	-0.914622	0.00889087	0.128827	
760	-0.878871	-0.912788	-0.813249	0.0344344	-0.847136	-0.913782	0.0089331	0.12901	
770	-0.879087	-0.913652	-0.811411	0.0341392	-0.846404	-0.911397	0.00891915	0.129314	
780	-0.879066	-0.912033	-0.812065	0.0335513	-0.845082	-0.90964	0.00885629	0.129439	
790	-0.879964	-0.913024	-0.814102	0.0328575	-0.846317	-0.909953	0.00892078	0.128776	
800	-0.878988	-0.909353	-0.81211	0.0331049	-0.84701	-0.910685	0.0089363	0.128865	
810	-0.879463	-0.912434	-0.814552	0.032373	-0.846226	-0.912314	0.00887911	0.128683	
820	-0.880167	-0.912221	-0.807876	0.0335073	-0.847178	-0.911587	0.00897236	0.128601	
830	-0.879616	-0.912729	-0.817633	0.0329626	-0.845397	-0.912808	0.00895734	0.128973	
840	-0.879325	-0.913373	-0.809805	0.0342456	-0.845089	-0.909675	0.00900771	0.129064	
850	-0.877577	-0.911028	-0.806165	0.0354003	-0.844503	-0.910485	0.00886691	0.12949	
860	-0.878739	-0.912345	-0.813396	0.0331812	-0.846069	-0.910491	0.00898369	0.129227	
870	-0.879122	-0.910279	-0.806908	0.0333142	-0.845619	-0.907922	0.00893792	0.128736	
880	-0.879766	-0.911949	-0.810716	0.0328157	-0.845662	-0.907885	0.00893828	0.128343	
890	-0.879531	-0.911147	-0.81684	0.0328046	-0.843926	-0.91587	0.00891719	0.128848	
900	-0.879344	-0.912946	-0.807449	0.0338519	-0.844666	-0.912714	0.00892569	0.129117	
910	-0.879179	-0.913957	-0.814822	0.0341397	-0.845255	-0.910774	0.00894286	0.128874	
920	-0.879526	-0.911888	-0.804682	0.0341116	-0.846638	-0.911473	0.00893676	0.12878	
930	-0.878037	-0.911558	-0.811306	0.0330522	-0.845455	-0.914153	0.0089401	0.128909	
940	-0.879735	-0.914762	-0.810588	0.0348773	-0.845157	-0.915005	0.00895937	0.12962	
950	-0.879812	-0.911318	-0.80517	0.0326603	-0.846793	-0.910998	0.00894602	0.128934	
960	-0.878674	-0.912729	-0.811346	0.0338163	-0.846584	-0.915625	0.00894553	0.128851	
